Attraction,Hour,Average Wait Time
The Amazing Adventures of Spider-Man,0,15
The Amazing Adventures of Spider-Man,8,17
The Amazing Adventures of Spider-Man,9,15
The Amazing Adventures of Spider-Man,10,33
The Amazing Adventures of Spider-Man,11,43
The Amazing Adventures of Spider-Man,12,43
The Amazing Adventures of Spider-Man,13,37
The Amazing Adventures of Spider-Man,14,33
The Amazing Adventures of Spider-Man,15,32
The Amazing Adventures of Spider-Man,16,31
The Amazing Adventures of Spider-Man,17,29
The Amazing Adventures of Spider-Man,18,27
The Amazing Adventures of Spider-Man,19,26
The Amazing Adventures of Spider-Man,20,23
The Amazing Adventures of Spider-Man,21,20
The Amazing Adventures of Spider-Man,22,20
The Amazing Adventures of Spider-Man,23,15
Caro-Seuss-el,0,5
Caro-Seuss-el,8,5
Caro-Seuss-el,9,5
Caro-Seuss-el,10,6
Caro-Seuss-el,11,6
Caro-Seuss-el,12,7
Caro-Seuss-el,13,7
Caro-Seuss-el,14,7
Caro-Seuss-el,15,7
Caro-Seuss-el,16,7
Caro-Seuss-el,17,7
Caro-Seuss-el,18,7
Caro-Seuss-el,19,8
Caro-Seuss-el,20,7
Caro-Seuss-el,21,8
Caro-Seuss-el,22,10
Caro-Seuss-el,23,10
The Cat in the Hat,0,5
The Cat in the Hat,8,5
The Cat in the Hat,9,6
The Cat in the Hat,10,8
The Cat in the Hat,11,11
The Cat in the Hat,12,11
The Cat in the Hat,13,11
The Cat in the Hat,14,12
The Cat in the Hat,15,12
The Cat in the Hat,16,12
The Cat in the Hat,17,11
The Cat in the Hat,18,10
The Cat in the Hat,19,9
The Cat in the Hat,20,7
The Cat in the Hat,21,7
The Cat in the Hat,22,5
The Cat in the Hat,23,5
Doctor Doom's Fearfall,0,9
Doctor Doom's Fearfall,8,7
Doctor Doom's Fearfall,9,9
Doctor Doom's Fearfall,10,18
Doctor Doom's Fearfall,11,22
Doctor Doom's Fearfall,12,21
Doctor Doom's Fearfall,13,18
Doctor Doom's Fearfall,14,16
Doctor Doom's Fearfall,15,15
Doctor Doom's Fearfall,16,15
Doctor Doom's Fearfall,17,15
Doctor Doom's Fearfall,18,14
Doctor Doom's Fearfall,19,13
Doctor Doom's Fearfall,20,11
Doctor Doom's Fearfall,21,10
Doctor Doom's Fearfall,22,10
Doctor Doom's Fearfall,23,16
Dudley Do-Right's Ripsaw Falls,0,5
Dudley Do-Right's Ripsaw Falls,8,7
Dudley Do-Right's Ripsaw Falls,9,6
Dudley Do-Right's Ripsaw Falls,10,11
Dudley Do-Right's Ripsaw Falls,11,24
Dudley Do-Right's Ripsaw Falls,12,35
Dudley Do-Right's Ripsaw Falls,13,40
Dudley Do-Right's Ripsaw Falls,14,41
Dudley Do-Right's Ripsaw Falls,15,40
Dudley Do-Right's Ripsaw Falls,16,36
Dudley Do-Right's Ripsaw Falls,17,31
Dudley Do-Right's Ripsaw Falls,18,26
Dudley Do-Right's Ripsaw Falls,19,23
Dudley Do-Right's Ripsaw Falls,20,20
Dudley Do-Right's Ripsaw Falls,21,16
Dudley Do-Right's Ripsaw Falls,22,5
Dudley Do-Right's Ripsaw Falls,23,5
Flight of the Hippogriff,0,5
Flight of the Hippogriff,8,27
Flight of the Hippogriff,9,30
Flight of the Hippogriff,10,34
Flight of the Hippogriff,11,38
Flight of the Hippogriff,12,38
Flight of the Hippogriff,13,37
Flight of the Hippogriff,14,37
Flight of the Hippogriff,15,36
Flight of the Hippogriff,16,35
Flight of the Hippogriff,17,33
Flight of the Hippogriff,18,30
Flight of the Hippogriff,19,29
Flight of the Hippogriff,20,26
Flight of the Hippogriff,21,21
Flight of the Hippogriff,22,27
Flight of the Hippogriff,23,13
Hagrid's Magical Creatures Motorbike Adventure,8,110
Hagrid's Magical Creatures Motorbike Adventure,9,118
Hagrid's Magical Creatures Motorbike Adventure,10,104
Hagrid's Magical Creatures Motorbike Adventure,11,95
Hagrid's Magical Creatures Motorbike Adventure,12,91
Hagrid's Magical Creatures Motorbike Adventure,13,89
Hagrid's Magical Creatures Motorbike Adventure,14,87
Hagrid's Magical Creatures Motorbike Adventure,15,87
Hagrid's Magical Creatures Motorbike Adventure,16,86
Hagrid's Magical Creatures Motorbike Adventure,17,85
Hagrid's Magical Creatures Motorbike Adventure,18,87
Hagrid's Magical Creatures Motorbike Adventure,19,91
Hagrid's Magical Creatures Motorbike Adventure,20,95
Hagrid's Magical Creatures Motorbike Adventure,21,85
Hagrid's Magical Creatures Motorbike Adventure,22,100
Harry Potter and the Forbidden Journey,0,15
Harry Potter and the Forbidden Journey,8,34
Harry Potter and the Forbidden Journey,9,33
Harry Potter and the Forbidden Journey,10,34
Harry Potter and the Forbidden Journey,11,41
Harry Potter and the Forbidden Journey,12,41
Harry Potter and the Forbidden Journey,13,41
Harry Potter and the Forbidden Journey,14,41
Harry Potter and the Forbidden Journey,15,42
Harry Potter and the Forbidden Journey,16,42
Harry Potter and the Forbidden Journey,17,37
Harry Potter and the Forbidden Journey,18,33
Harry Potter and the Forbidden Journey,19,29
Harry Potter and the Forbidden Journey,20,25
Harry Potter and the Forbidden Journey,21,20
Harry Potter and the Forbidden Journey,22,27
Harry Potter and the Forbidden Journey,23,26
The Incredible Hulk Coaster,8,24
The Incredible Hulk Coaster,9,26
The Incredible Hulk Coaster,10,42
The Incredible Hulk Coaster,11,48
The Incredible Hulk Coaster,12,43
The Incredible Hulk Coaster,13,36
The Incredible Hulk Coaster,14,32
The Incredible Hulk Coaster,15,32
The Incredible Hulk Coaster,16,33
The Incredible Hulk Coaster,17,36
The Incredible Hulk Coaster,18,34
The Incredible Hulk Coaster,19,34
The Incredible Hulk Coaster,20,32
The Incredible Hulk Coaster,21,32
The Incredible Hulk Coaster,22,25
Jurassic Park River Adventure,0,5
Jurassic Park River Adventure,8,7
Jurassic Park River Adventure,9,8
Jurassic Park River Adventure,10,15
Jurassic Park River Adventure,11,27
Jurassic Park River Adventure,12,34
Jurassic Park River Adventure,13,37
Jurassic Park River Adventure,14,37
Jurassic Park River Adventure,15,36
Jurassic Park River Adventure,16,31
Jurassic Park River Adventure,17,24
Jurassic Park River Adventure,18,19
Jurassic Park River Adventure,19,15
Jurassic Park River Adventure,20,11
Jurassic Park River Adventure,21,9
Jurassic Park River Adventure,22,5
Jurassic Park River Adventure,23,5
Jurassic World VelociCoaster,8,45
Jurassic World VelociCoaster,9,49
Jurassic World VelociCoaster,10,53
Jurassic World VelociCoaster,11,60
Jurassic World VelociCoaster,12,62
Jurassic World VelociCoaster,13,61
Jurassic World VelociCoaster,14,60
Jurassic World VelociCoaster,15,61
Jurassic World VelociCoaster,16,62
Jurassic World VelociCoaster,17,61
Jurassic World VelociCoaster,18,60
Jurassic World VelociCoaster,19,61
Jurassic World VelociCoaster,20,60
Jurassic World VelociCoaster,21,56
Popeye & Bluto's Bilge-Rat Barges,8,18
Popeye & Bluto's Bilge-Rat Barges,9,8
Popeye & Bluto's Bilge-Rat Barges,10,14
Popeye & Bluto's Bilge-Rat Barges,11,14
Popeye & Bluto's Bilge-Rat Barges,12,15
Popeye & Bluto's Bilge-Rat Barges,13,18
Popeye & Bluto's Bilge-Rat Barges,14,19
Popeye & Bluto's Bilge-Rat Barges,15,19
Popeye & Bluto's Bilge-Rat Barges,16,18
Popeye & Bluto's Bilge-Rat Barges,17,15
Popeye & Bluto's Bilge-Rat Barges,18,13
Popeye & Bluto's Bilge-Rat Barges,19,10
Popeye & Bluto's Bilge-Rat Barges,20,9
Popeye & Bluto's Bilge-Rat Barges,21,8
Pteranodon Flyers,0,10
Pteranodon Flyers,8,14
Pteranodon Flyers,9,15
Pteranodon Flyers,10,25
Pteranodon Flyers,11,33
Pteranodon Flyers,12,37
Pteranodon Flyers,13,39
Pteranodon Flyers,14,40
Pteranodon Flyers,15,39
Pteranodon Flyers,16,37
Pteranodon Flyers,17,34
Pteranodon Flyers,18,33
Pteranodon Flyers,19,33
Pteranodon Flyers,20,30
Pteranodon Flyers,21,25
Pteranodon Flyers,22,13
Pteranodon Flyers,23,10
Skull Island: Reign of Kong,0,10
Skull Island: Reign of Kong,8,17
Skull Island: Reign of Kong,9,22
Skull Island: Reign of Kong,10,30
Skull Island: Reign of Kong,11,46
Skull Island: Reign of Kong,12,53
Skull Island: Reign of Kong,13,54
Skull Island: Reign of Kong,14,52
Skull Island: Reign of Kong,15,49
Skull Island: Reign of Kong,16,45
Skull Island: Reign of Kong,17,39
Skull Island: Reign of Kong,18,34
Skull Island: Reign of Kong,19,30
Skull Island: Reign of Kong,20,25
Skull Island: Reign of Kong,21,17
Skull Island: Reign of Kong,22,25
Skull Island: Reign of Kong,23,14
Storm Force Accelatron,0,5
Storm Force Accelatron,8,5
Storm Force Accelatron,9,5
Storm Force Accelatron,10,6
Storm Force Accelatron,11,8
Storm Force Accelatron,12,8
Storm Force Accelatron,13,7
Storm Force Accelatron,14,7
Storm Force Accelatron,15,7
Storm Force Accelatron,16,7
Storm Force Accelatron,17,7
Storm Force Accelatron,18,7
Storm Force Accelatron,19,7
Storm Force Accelatron,20,7
Storm Force Accelatron,21,7
Storm Force Accelatron,22,10
Storm Force Accelatron,23,5
