PrioSeatsPercentage,Priority,FunIndex,ConfInterval
0.0,SMALL,1.9846207188382399,0.014742337104742865
0.0,NORMAL + SMALL,1.983335526666847,0.014524667130229568
0.0,PRIORITY,1.3586627372053286,0.03003122547013507
0.0,NORMAL,1.979501033693429,0.01773141479109986
0.1,SMALL,1.8548855909999236,0.017821618692126638
0.1,NORMAL + SMALL,1.8545749279839052,0.017854542546716142
0.1,PRIORITY,1.8824230090204805,0.033803466951521435
0.1,NORMAL,1.853487592383124,0.02041445065115406
0.2,SMALL,1.8205734597792491,0.01749098283386921
0.2,NORMAL + SMALL,1.820386936291421,0.017328137191876432
0.2,PRIORITY,2.192513076359519,0.01272725473532842
0.2,NORMAL,1.8202133230329298,0.02008542291213911
0.30000000000000004,SMALL,1.8296527704541419,0.018435622357304764
0.30000000000000004,NORMAL + SMALL,1.8255188120706203,0.018824195844427034
0.30000000000000004,PRIORITY,2.216303096525313,0.01369623636249219
0.30000000000000004,NORMAL,1.8137226557809545,0.0218890501968487
0.4,SMALL,1.8208405432530026,0.017942716589912817
0.4,NORMAL + SMALL,1.8209725179821263,0.018337639437887115
0.4,PRIORITY,2.2095361772264144,0.014174865383021082
0.4,NORMAL,1.8215143972576144,0.02174046684763055
0.5,SMALL,1.822670821945062,0.017974320954600366
0.5,NORMAL + SMALL,1.8194683659878716,0.018033280616341813
0.5,PRIORITY,2.2110652366830656,0.013271781432916867
0.5,NORMAL,1.8100116407698408,0.021224124521729535
0.6,SMALL,1.8180272354703306,0.017758706684770344
0.6,NORMAL + SMALL,1.8155345604878017,0.017644970651428952
0.6,PRIORITY,2.2069665791221653,0.014575764669239145
0.6,NORMAL,1.8082606871667644,0.01976144489777365
0.7,SMALL,1.8223098898852035,0.018529538631849748
0.7,NORMAL + SMALL,1.8200358288367817,0.018387868220369787
0.7,PRIORITY,2.217538838801525,0.012341113842568363
0.7,NORMAL,1.8133709812942782,0.02055603080618641
0.7999999999999999,SMALL,1.8216830436453726,0.01834046675923766
0.7999999999999999,NORMAL + SMALL,1.81952216999162,0.01827426750311394
0.7999999999999999,PRIORITY,2.2167167973673654,0.012288688699797084
0.7999999999999999,NORMAL,1.8133081975899343,0.02064435040647039
0.8999999999999999,SMALL,1.8216830436453726,0.01834046675923766
0.8999999999999999,NORMAL + SMALL,1.81952216999162,0.01827426750311394
0.8999999999999999,PRIORITY,2.2167167973673654,0.012288688699797084
0.8999999999999999,NORMAL,1.8133081975899343,0.02064435040647039
0.9999999999999999,SMALL,1.8216830436453726,0.01834046675923766
0.9999999999999999,NORMAL + SMALL,1.81952216999162,0.01827426750311394
0.9999999999999999,PRIORITY,2.2167167973673654,0.012288688699797084
0.9999999999999999,NORMAL,1.8133081975899343,0.02064435040647039
