PrioSeatsPercentage,SmallSeatsPercentage,PoissonParam,Priority,FunIndex,Interval
0.4,0.0,1.0,SMALL,0.044107033731092225,0.0026399069973899714
0.4,0.0,1.0,PRIORITY,1.2921755848325702,0.035269593726048216
0.4,0.0,1.0,NORMAL,0.12094084962660145,0.002172968288193405
0.4,0.05,1.0,SMALL,0.04196915514968147,0.0015210808173964205
0.4,0.05,1.0,PRIORITY,1.2894072433120152,0.031214050043430672
0.4,0.05,1.0,NORMAL,0.10846117710726261,0.002028616628429092
0.4,0.1,1.0,SMALL,0.06859996728544869,0.001586735871922264
0.4,0.1,1.0,PRIORITY,1.2852549996369431,0.03247525225686172
0.4,0.1,1.0,NORMAL,0.09634156927673808,0.0017148374640766834
0.4,0.15000000000000002,1.0,SMALL,0.10451378360827644,0.0019443006481237723
0.4,0.15000000000000002,1.0,PRIORITY,1.2767081137052239,0.030488778584099492
0.4,0.15000000000000002,1.0,NORMAL,0.08834312464848551,0.001569318593347068
0.4,0.0,1.5,SMALL,0.05310619181320803,0.0029760985981439505
0.4,0.0,1.5,PRIORITY,1.2117499025649225,0.024430300290914392
0.4,0.0,1.5,NORMAL,0.10523788619014963,0.0018317484456523054
0.4,0.05,1.5,SMALL,0.08248310725680943,0.002227366818107827
0.4,0.05,1.5,PRIORITY,1.1981070574823955,0.026888630319613093
0.4,0.05,1.5,NORMAL,0.09528572293853887,0.001598888341383019
0.4,0.1,1.5,SMALL,0.1838107361222801,0.0046584481397612286
0.4,0.1,1.5,PRIORITY,1.191349988800132,0.025978612098642957
0.4,0.1,1.5,NORMAL,0.08746778007063587,0.0016645488386005283
0.4,0.15000000000000002,1.5,SMALL,0.35205245242508154,0.008157051042024447
0.4,0.15000000000000002,1.5,PRIORITY,1.21206336322837,0.03165864530144318
0.4,0.15000000000000002,1.5,NORMAL,0.08032621952835486,0.0014556884396135347
0.4,0.0,2.0,SMALL,0.07061283701795269,0.0030888921812956597
0.4,0.0,2.0,PRIORITY,1.1623911929561814,0.022454953062899893
0.4,0.0,2.0,NORMAL,0.10034089105886514,0.002047531520510457
0.4,0.05,2.0,SMALL,0.20496413223914436,0.006758966897766419
0.4,0.05,2.0,PRIORITY,1.162275634512013,0.026003066248207474
0.4,0.05,2.0,NORMAL,0.09244570644145463,0.0017705069991659243
0.4,0.1,2.0,SMALL,0.663608338514877,0.02557256516339179
0.4,0.1,2.0,PRIORITY,1.1735314810817505,0.024689819588345204
0.4,0.1,2.0,NORMAL,0.08579205267980927,0.0014607410767879096
0.4,0.15000000000000002,2.0,SMALL,1.4800852671303677,0.03942600545699855
0.4,0.15000000000000002,2.0,PRIORITY,1.1921198745299908,0.023035493450582315
0.4,0.15000000000000002,2.0,NORMAL,0.08402722075601415,0.0015673577380780088
0.4,0.0,2.5,SMALL,0.11054693158776663,0.0072426009261925
0.4,0.0,2.5,PRIORITY,1.1425661314386941,0.02400413959738779
0.4,0.0,2.5,NORMAL,0.09781491101612336,0.0018910627311181454
0.4,0.05,2.5,SMALL,0.7006445244013105,0.04146695500961205
0.4,0.05,2.5,PRIORITY,1.1367615882103252,0.024360660219187265
0.4,0.05,2.5,NORMAL,0.09092249241762534,0.0016005419384005559
0.4,0.1,2.5,SMALL,1.8796517455264685,0.026906321382968657
0.4,0.1,2.5,PRIORITY,1.1687184690659211,0.02295408949065468
0.4,0.1,2.5,NORMAL,0.08897198213025477,0.0016658173592802
0.4,0.15000000000000002,2.5,SMALL,2.086042697640351,0.011213970154195972
0.4,0.15000000000000002,2.5,PRIORITY,1.2360304477864514,0.02266171449379797
0.4,0.15000000000000002,2.5,NORMAL,0.08741746942868867,0.001645501479489949
0.4,0.0,3.0,SMALL,0.21204565778944515,0.011516078196540238
0.4,0.0,3.0,PRIORITY,1.1016964290825546,0.028273594696009135
0.4,0.0,3.0,NORMAL,0.09758854979551496,0.002027551826635149
0.4,0.05,3.0,SMALL,1.7206866348264738,0.037207307016702086
0.4,0.05,3.0,PRIORITY,1.1088161156380618,0.03479084994591707
0.4,0.05,3.0,NORMAL,0.09250613085270545,0.001647013459157676
0.4,0.1,3.0,SMALL,2.09397424114025,0.016443129738396824
0.4,0.1,3.0,PRIORITY,1.1704012751651618,0.024160143746237976
0.4,0.1,3.0,NORMAL,0.09237013929986992,0.0020315804552686035
0.4,0.15000000000000002,3.0,SMALL,2.107870294054428,0.014294413502687297
0.4,0.15000000000000002,3.0,PRIORITY,1.2544221958950137,0.027917160533317026
0.4,0.15000000000000002,3.0,NORMAL,0.08996635692035282,0.0019950421829797974
