Center Name,Metric Name,Mean Value,Autocorrelation,Interval,Lower Bound,Theory Value,Upper Bound,Inside
Attraction_1,N_Q,1.1152,0.0397,0.2167,0.8985,1.0199,1.3319,True
Attraction_1,QueueTime,0.1352,0.0328,0.0247,0.1104,0.1275,0.1599,True
Attraction_1,Rho,0.7990,0.1595,0.0089,0.7901,0.7997,0.8078,True
Attraction_1,ServiceTime,2.0010,-0.1075,0.0085,1.9925,2.0000,2.0095,True
Attraction_2,N_Q,0.9645,0.0906,0.1434,0.8211,1.0199,1.1080,True
Attraction_2,QueueTime,0.1176,0.0874,0.0165,0.1011,0.1275,0.1341,True
Attraction_2,Rho,0.7981,0.1350,0.0084,0.7898,0.7997,0.8065,True
Attraction_2,ServiceTime,1.9969,0.0947,0.0085,1.9884,2.0000,2.0053,True
Attraction_3,N_Q,1.0198,0.1070,0.1493,0.8705,1.0199,1.1691,True
Attraction_3,QueueTime,0.1245,0.1061,0.0172,0.1073,0.1275,0.1417,True
Attraction_3,Rho,0.8002,0.1034,0.0084,0.7919,0.7997,0.8086,True
Attraction_3,ServiceTime,2.0022,-0.1221,0.0078,1.9943,2.0000,2.0100,True
Attraction_4,N_Q,1.0612,0.0862,0.1700,0.8912,1.0199,1.2312,True
Attraction_4,QueueTime,0.1290,0.0756,0.0195,0.1095,0.1275,0.1485,True
Attraction_4,Rho,0.8002,0.1585,0.0085,0.7918,0.7997,0.8087,True
Attraction_4,ServiceTime,2.0010,0.0159,0.0087,1.9923,2.0000,2.0096,True
Attraction_5,N_Q,1.0186,0.1594,0.1528,0.8658,1.0199,1.1714,True
Attraction_5,QueueTime,0.1237,0.1539,0.0175,0.1062,0.1275,0.1412,True
Attraction_5,Rho,0.8002,0.1687,0.0087,0.7916,0.7997,0.8089,True
Attraction_5,ServiceTime,1.9987,0.0063,0.0077,1.9910,2.0000,2.0065,True
Attraction_6,N_Q,0.9822,0.1210,0.1558,0.8264,1.0199,1.1380,True
Attraction_6,QueueTime,0.1198,0.1141,0.0177,0.1022,0.1275,0.1375,True
Attraction_6,Rho,0.7971,0.1762,0.0085,0.7885,0.7997,0.8056,True
Attraction_6,ServiceTime,1.9980,-0.0444,0.0086,1.9894,2.0000,2.0066,True
Attraction_7,N_Q,1.0465,0.1066,0.1574,0.8892,1.0199,1.2039,True
Attraction_7,QueueTime,0.1273,0.0959,0.0180,0.1093,0.1275,0.1452,True
Attraction_7,Rho,0.8009,0.1487,0.0083,0.7926,0.7997,0.8092,True
Attraction_7,ServiceTime,2.0007,0.0881,0.0087,1.9920,2.0000,2.0093,True
Entrance,N_Q,0.7305,0.0415,0.0874,0.6431,0.7309,0.8179,True
Entrance,QueueTime,0.2336,0.0414,0.0275,0.2061,0.2350,0.2612,True
Entrance,Rho,0.7767,0.0549,0.0046,0.7721,0.7775,0.7814,True
Entrance,ServiceTime,4.9977,0.0427,0.0209,4.9769,5.0000,5.0186,True
Restaurant_1,N_Q,0.0525,0.0405,0.0085,0.0440,0.0555,0.0610,True
Restaurant_1,QueueTime,0.0672,0.0380,0.0109,0.0563,0.0714,0.0781,True
Restaurant_1,Rho,0.6210,0.0807,0.0040,0.6171,0.6220,0.6250,True
Restaurant_1,ServiceTime,15.9867,-0.0003,0.0626,15.9241,16.0000,16.0493,True
Restaurant_2,N_Q,0.0550,-0.0426,0.0090,0.0460,0.0555,0.0639,True
Restaurant_2,QueueTime,0.0699,-0.0440,0.0112,0.0587,0.0714,0.0811,True
Restaurant_2,Rho,0.6221,0.0356,0.0042,0.6180,0.6220,0.6263,True
Restaurant_2,ServiceTime,15.9946,-0.0491,0.0645,15.9301,16.0000,16.0591,True
Restaurant_3,N_Q,0.0578,-0.0506,0.0095,0.0483,0.0555,0.0674,True
Restaurant_3,QueueTime,0.0738,-0.0528,0.0120,0.0618,0.0714,0.0858,True
Restaurant_3,Rho,0.6245,0.0358,0.0040,0.6205,0.6220,0.6285,True
Restaurant_3,ServiceTime,16.0566,-0.0168,0.0674,15.9892,16.0000,16.1240,True
Restaurant_4,N_Q,0.0518,-0.0591,0.0082,0.0436,0.0555,0.0600,True
Restaurant_4,QueueTime,0.0660,-0.0616,0.0102,0.0558,0.0714,0.0761,True
Restaurant_4,Rho,0.6211,-0.0631,0.0038,0.6173,0.6220,0.6249,True
Restaurant_4,ServiceTime,15.9871,-0.0430,0.0570,15.9302,16.0000,16.0441,True
