Center name,Avg Queue Time,Avg Queue Time - Normal,Avg Queue Time - Prio,Normal Jobs Served,Priority Jobs Served,Avg Single Service Time,Avg System Time
Restaurant_1,0.0,0.0,0.0,0,0,0.0,0.0
Skull_Island,0.0,0.0,0.0,9340,0,5.998281692909153,5.998281692909153
Entrance,0.0,0.0,0.0,711,0,0.10077933934929165,0.10077933934929165
Storm_Force,0.0,0.0,0.0,9226,0,3.997288791362464,3.997288791362464
Harry_Potter_Journey,0.0,0.0,0.0,9257,0,5.001253245662536,5.001253245662536
Jurassic_World_VelociCoaster,0.0,0.0,0.0,9197,0,2.994258204077921,2.994258204077921
Incredible_Hulk_Coaster,0.0010071352651269685,0.0010071352651269685,0.0,9209,0,2.9971652398693753,2.9981723751345024
Restaurant_4,0.0,0.0,0.0,0,0,0.0,0.0
Doctor_Doom_Fearfall,4.839434720683305E-5,4.839434720683305E-5,0.0,9123,0,1.9997323072848119,1.9997807016320188
Restaurant_3,0.0,0.0,0.0,0,0,0.0,0.0
Flight_Hippogriff,29.610949420962534,29.610949420962534,0.0,8668,0,1.9967259074447443,31.60767532840728
Restaurant_2,0.0,0.0,0.0,0,0,0.0,0.0
