Group Size,Priority,Queue Time,Riding Time,Total Time,Number of rides
5,0,8.072719399275481,0.0,22.684106182447074,0
9,0,0.0,0.0,30.149015459465318,0
3,0,15.179665278430857,0.0,35.90363055399672,0
6,0,0.0,0.0,36.50725613572285,0
7,1,0.0,0.0,40.27978579253106,0
1,0,0.0,0.0,42.969773270718036,0
7,0,0.0,0.0,45.19067739108904,0
3,1,0.0,0.0,51.40626327023869,0
6,1,0.0,0.0,52.72786616972431,0
8,0,0.0,0.0,59.245893855490955,0
1,1,4.071498180491233,0.0,62.46694518722763,0
9,0,0.17927436420484355,0.0,62.46694518722763,0
5,0,0.0,0.0,62.65138746684979,0
7,0,2.3031524937839265,0.0,66.99277731641637,0
7,0,11.661036612096225,0.0,72.4354853858483,0
8,0,0.0,0.0,76.4598809419036,0
9,0,0.0,0.0,78.60925046143227,0
9,0,0.0,0.0,85.39815562934052,0
1,0,1.6432064738640264,0.0,87.78084992938561,0
2,0,0.0,0.0,106.0476134006604,0
5,0,8.072719399275481,0.0,22.684106182447074,0
9,0,0.0,0.0,30.149015459465318,0
3,0,15.179665278430857,0.0,35.90363055399672,0
6,0,0.0,0.0,36.50725613572285,0
7,1,0.0,0.0,40.27978579253106,0
1,0,0.0,0.0,42.969773270718036,0
7,0,0.0,0.0,45.19067739108904,0
3,1,0.0,0.0,51.40626327023869,0
6,1,0.0,0.0,52.72786616972431,0
8,0,0.0,0.0,59.245893855490955,0
1,1,4.071498180491233,0.0,62.46694518722763,0
9,0,0.17927436420484355,0.0,62.46694518722763,0
5,0,0.0,0.0,62.65138746684979,0
7,0,2.3031524937839265,0.0,66.99277731641637,0
7,0,11.661036612096225,0.0,72.4354853858483,0
8,0,0.0,0.0,76.4598809419036,0
9,0,0.0,0.0,78.60925046143227,0
9,0,0.0,0.0,85.39815562934052,0
1,0,1.6432064738640264,0.0,87.78084992938561,0
2,0,0.0,0.0,106.0476134006604,0
